,FullTokens,FullSinhalaTokens,FullEnglishTokens,IsHateSpeech
0,"['බැල්ලි', 'කොටින්', 'ගු', 'කනකොට', 'අපහසුවක්', 'දැනුනෙ', 'දන්', 'ඔකිට', 'මිනිහා', 'මැරුනම', 'දැනුන', 'දුකට', 'දහස්', 'ගුනයක', 'දුක', 'දැනෙන', 'ඉස්සරහ', 'උපසම්පදා', 'තියන', 'භික්සුවක්', 'හිරේ', 'යැවුවට', 'ඔකි', 'වැඩියෙන්', 'ආදරේ', 'කෙනෙක්', 'ඔකිට', 'නැති', 'වෙනවා', 'වැඩි', 'කල්', 'නොගිහින්']","['බැල්ලි', 'කොටින්', 'ගු', 'කනකොට', 'අපහසුවක්', 'දැනුනෙ', 'දන්', 'ඔකිට', 'මිනිහා', 'මැරුනම', 'දැනුන', 'දුකට', 'දහස්', 'ගුනයක', 'දුක', 'දැනෙන', 'ඉස්සරහ', 'උපසම්පදා', 'තියන', 'භික්සුවක්', 'හිරේ', 'යැවුවට', 'ඔකි', 'වැඩියෙන්', 'ආදරේ', 'කෙනෙක්', 'ඔකිට', 'නැති', 'වෙනවා', 'වැඩි', 'කල්', 'නොගිහින්']",[],YES
1,"['මන්', 'ඊයේ', 'මුස්ලිම්', 'ඩෑල්', 'එකක්', 'සෙල්ෆි', 'ගත්තා', 'සහජීවනේ', 'රැකගෙන', 'යන්න', 'ඌ', 'ඒක', 'තාම', 'දාල', 'නෑපරයා']","['මන්', 'ඊයේ', 'මුස්ලිම්', 'ඩෑල්', 'එකක්', 'සෙල්ෆි', 'ගත්තා', 'සහජීවනේ', 'රැකගෙන', 'යන්න', 'ඌ', 'ඒක', 'තාම', 'දාල', 'නෑපරයා']",[],YES
2,"['සංහිදියා', 'අවුල', 'වෙයි']","['සංහිදියා', 'අවුල', 'වෙයි']",[],NO
3,"['කටින්', 'පුරසාරම්', 'දොඩන', 'අපි', 'සිංහලයො', 'විදියට', 'ලැජ්ජා', 'විය', 'යුතුයි']","['කටින්', 'පුරසාරම්', 'දොඩන', 'අපි', 'සිංහලයො', 'විදියට', 'ලැජ්ජා', 'විය', 'යුතුයි']",[],YES
4,"['මචන්', 'මගුල', 'නවත්තල', 'කොන්ද', 'තියෙනවානම්', 'පුලුවන්නම්', 'කරලා', 'පෙන්නපන්', 'දෙසපාලනය', 'කරන', 'අයගෙ', 'මෙ', 'රටට', 'වෙලාතියෙන්නෙ', 'කියලා', 'එදා', 'උබ', 'නියම', 'කොල්ලෙක්පුලුවන්නම්', 'කරලා', 'පෙන්නනවාද']","['මචන්', 'මගුල', 'නවත්තල', 'කොන්ද', 'තියෙනවානම්', 'පුලුවන්නම්', 'කරලා', 'පෙන්නපන්', 'දෙසපාලනය', 'කරන', 'අයගෙ', 'මෙ', 'රටට', 'වෙලාතියෙන්නෙ', 'කියලා', 'එදා', 'උබ', 'නියම', 'කොල්ලෙක්පුලුවන්නම්', 'කරලා', 'පෙන්නනවාද']",[],YES
5,"['ආණ්ඩුවේ', 'නෙවෙයි', 'රට', 'හූරාගෙන', 'තමන්ගෙ', 'බූදලය', 'කියල', 'හිතාගෙන', 'රට', 'උගස්', 'තියල', 'සල්ලි', 'නයට', 'අරගෙන', 'තමතමන්ගෙ', 'පරම්පරාවෙ', 'එවුන්ටයි', 'හිතවත්', 'එවුන්ටයි', 'බෙදාගෙන', 'කන', 'සියලුම', 'දේශපාලකයන්', 'දුටු', 'දුටු', 'තැන', 'මරලා', 'දාන', 'දිනය', 'වැඩි', 'ඈතක']","['ආණ්ඩුවේ', 'නෙවෙයි', 'රට', 'හූරාගෙන', 'තමන්ගෙ', 'බූදලය', 'කියල', 'හිතාගෙන', 'රට', 'උගස්', 'තියල', 'සල්ලි', 'නයට', 'අරගෙන', 'තමතමන්ගෙ', 'පරම්පරාවෙ', 'එවුන්ටයි', 'හිතවත්', 'එවුන්ටයි', 'බෙදාගෙන', 'කන', 'සියලුම', 'දේශපාලකයන්', 'දුටු', 'දුටු', 'තැන', 'මරලා', 'දාන', 'දිනය', 'වැඩි', 'ඈතක']",[],YES
6,"['ලංකා', 'මෙිකෙ', 'ඉන්නෙ', 'වාහනයක', 'ගත්තම', 'අලි', 'ඔලුවෙන්', 'ඉන්න', 'පාරෙ', 'යන', 'එකෙක්', 'හිතන්නැති', 'නිරැවත්', 'පිංපියො', 'වගෙ', 'එවු', 'ටික', 'නෙ']","['ලංකා', 'මෙිකෙ', 'ඉන්නෙ', 'වාහනයක', 'ගත්තම', 'අලි', 'ඔලුවෙන්', 'ඉන්න', 'පාරෙ', 'යන', 'එකෙක්', 'හිතන්නැති', 'නිරැවත්', 'පිංපියො', 'වගෙ', 'එවු', 'ටික', 'නෙ']",[],YES
7,"['menna', 'ratawal', 'menna', 'minissu', 'ape', 'ratawal', 'wala', 'inna', 'jathin', 'thunema', 'gothrikayo', 'tika', 'manussayo', 'karala', 'inna', 'wenawa']",[],"['menna', 'ratawal', 'menna', 'minissu', 'ape', 'ratawal', 'wala', 'inna', 'jathin', 'thunema', 'gothrikayo', 'tika', 'manussayo', 'karala', 'inna', 'wenawa']",YES
8,"['උඹ', 'ලෝකය', 'හදාගත්ත', 'නම්බුව', 'ලංකාවේ', 'කාලකණ්ණි', 'එක', 'විනාඩියේන්', 'නැති', 'කරයි', 'බන්', 'හන්ද', 'දේශපාලනය', 'කරන්ට', 'එන්ට', 'මචංංංංං', 'ගුඩ්ලක්']","['උඹ', 'ලෝකය', 'හදාගත්ත', 'නම්බුව', 'ලංකාවේ', 'කාලකණ්ණි', 'එක', 'විනාඩියේන්', 'නැති', 'කරයි', 'බන්', 'හන්ද', 'දේශපාලනය', 'කරන්ට', 'එන්ට', 'මචංංංංං', 'ගුඩ්ලක්']",[],YES
9,"['පල්ලියකට', 'ගලක', 'වැදුනත්', 'පරසක්වල', 'ගහන', 'මූ', 'පන්සල්', 'බිමට', 'සමතලා', 'කරද්දී', 'සද්ද', 'නෑමූට', 'කොහොම', 'ඡන්දෙ', 'දෙන්නෙ']","['පල්ලියකට', 'ගලක', 'වැදුනත්', 'පරසක්වල', 'ගහන', 'මූ', 'පන්සල්', 'බිමට', 'සමතලා', 'කරද්දී', 'සද්ද', 'නෑමූට', 'කොහොම', 'ඡන්දෙ', 'දෙන්නෙ']",[],YES
